Step,Matrix,Operation,Solution
0,"Система уравнений:","",""
1,"4x - y + 3z = 12","",""
2,"2x + 2y - z = 4","",""
3,"x + y + z = 6","",""
4,"","",""
5,"[[4.000000, -1.000000, 3.000000, 12.000000], [2.000000, 2.000000, -1.000000, 4.000000], [1.000000, 1.000000, 1.000000, 6.000000]]","Начальная матрица","[12, 4, 6]"
6,"[[1.000000, -0.250000, 0.750000, 3.000000], [2.000000, 2.000000, -1.000000, 4.000000], [1.000000, 1.000000, 1.000000, 6.000000]]","Перестановка строк 1 и 3","[3, 4, 6]"
7,"[[1.000000, -0.250000, 0.750000, 3.000000], [0.000000, 2.500000, -2.500000, -2.000000], [0.000000, 1.250000, 0.250000, 3.000000]]","R2 = R2 - 2×R1, R3 = R3 - 4×R1","[3, -2, 3]"
8,"[[1.000000, -0.250000, 0.750000, 3.000000], [0.000000, 1.000000, -1.000000, -0.800000], [0.000000, 1.250000, 0.250000, 3.000000]]","Перестановка строк 2 и 3","[3, -0.8, 3]"
9,"[[1.000000, 0.000000, 0.500000, 2.800000], [0.000000, 1.000000, -1.000000, -0.800000], [0.000000, 0.000000, 1.500000, 4.000000]]","Нормализация строки 2","[2.8, -0.8, 4]"
10,"[[1.000000, 0.000000, 0.500000, 2.800000], [0.000000, 1.000000, -1.000000, -0.800000], [0.000000, 0.000000, 1.000000, 2.666667]]","Исключение x из строки 1","[2.8, -0.8, 2.66667]"
11,"[[1.000000, 0.000000, 0.000000, 1.466667], [0.000000, 1.000000, 0.000000, 1.866667], [0.000000, 0.000000, 1.000000, 2.666667]]","Нормализация строки 3","[1.46667, 1.86667, 2.66667]"
12,"","Финальное решение:",""
13,"x = 1.46667","",""
14,"y = 1.86667","",""
15,"z = 2.66667","",""
